area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_clean,lat,lon
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,3.0,92.0,3.0,2010.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Wiowsri,1480,2.0,2.0,64.23,3.0,1480.0,12.8856913,77.5526564
Super built-up  Area,18-Jun,8th Phase JP Nagar,3 BHK,,1230,2.0,2.0,43.5,3.0,1230.0,12.9104062,77.5951099
Super built-up  Area,Ready To Move,Gottigere,3 BHK,,1300,3.0,3.0,65.0,3.0,1300.0,12.8565317,77.5877237
Plot  Area,Ready To Move,Vajarahalli,4 Bedroom,,800,4.0,0.0,120.0,4.0,800.0,12.8774369,77.5447414
Super built-up  Area,Ready To Move,Frazer Town,4 BHK,Meentan,4850,6.0,2.0,385.0,4.0,4850.0,12.9975851,77.6136744
Super built-up  Area,Ready To Move,Singasandra,2 BHK,GRe 2iv,1100,2.0,1.0,52.0,2.0,1100.0,12.8787382,77.642089
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3.0,2.0,116.0,3.0,1752.12,12.9058923,77.675465
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,957,2.0,1.0,46.9,2.0,957.0,12.9552572,77.6984163
Super built-up  Area,20-Jan,Balagere,1 BHK,Soresea,645 - 936,1.0,0.0,41.9,1.0,790.5,12.9377243,77.7280705
Built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1942,3.0,2.0,102.0,3.0,1942.0,13.0376905,77.6432902
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,Swhtsna,1000,2.0,2.0,53.0,2.0,1000.0,12.9398513,77.5740326
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,668,1.0,1.0,36.85,1.0,668.0,13.0176937,77.5555009
Plot  Area,Ready To Move,Cholanayakanahalli,5 Bedroom,,3000,6.0,3.0,1000.0,5.0,3000.0,13.0364498,77.5975272
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,,600,2.0,1.0,80.0,3.0,600.0,12.9512353,77.519054
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1089,2.0,1.0,43.55,2.0,1089.0,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,R ra  R,1800,3.0,3.0,90.0,3.0,1800.0,13.0522499,77.6316152
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,,960,2.0,1.0,18.0,1.0,960.0,13.0978039,77.5811889
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,1036,2.0,3.0,39.35,2.0,1036.0,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PueraRi,1583,3.0,3.0,105.0,3.0,1583.0,12.9552572,77.6984163
Built-up  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,,3300,4.0,0.0,150.0,4.0,3300.0,12.9119693,77.5882043
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Bhise P,1100,2.0,2.0,65.0,2.0,1100.0,12.9181024,77.5576638
Plot  Area,Ready To Move,Thyagaraja Nagar,1 Bedroom,,800,1.0,1.0,100.0,1.0,800.0,12.931392,77.5683011
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2.0,1.0,65.0,2.0,1246.0,12.8699226,77.6272278
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,SaisePa,850,2.0,3.0,28.0,2.0,850.0,12.9725581,77.692858
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196,2.0,2.0,51.51,2.0,1196.0,12.932582,77.5162034
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1697,3.0,2.0,114.0,3.0,1697.0,13.0522499,77.6316152
Built-up  Area,Ready To Move,TC Palaya,2 Bedroom,,1000,2.0,0.0,64.0,2.0,1000.0,13.0105743,77.6932572
Super built-up  Area,Ready To Move,HRBR Layout,3 BHK,,1567,3.0,3.0,90.0,3.0,1567.0,13.0141515,77.6340564
Plot  Area,19-Jan,Anekal,2 Bedroom,,1200,1.0,1.0,36.0,2.0,1200.0,12.7836552,77.7461411
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Co IIla,3750,6.0,3.0,290.0,4.0,3750.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Veerannapalya,2 BHK,,950,2.0,2.0,45.0,2.0,950.0,13.0424788,77.613342
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,PaigeMa,1018,2.0,0.0,23.45,2.0,1018.0,13.079198,77.7136366
Plot  Area,Ready To Move,Basavanagara,4 Bedroom,,2000,3.0,2.0,25.0,4.0,2000.0,12.900973,77.4671249
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,FoapeWa,1322,2.0,2.0,68.0,2.0,1322.0,12.9898432,77.6103341
Plot  Area,Ready To Move,Marsur,4 Bedroom,AreraRe,1800,4.0,2.0,145.0,4.0,1800.0,12.7678915,77.7043732
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,,1460,2.0,2.0,58.39,3.0,1460.0,12.8857355,77.5557448
Super built-up  Area,18-May,SRINIVASAPURA,2 BHK,,990,2.0,1.0,44.55,2.0,990.0,13.1062092,77.6239014
Built-up  Area,Ready To Move,Cambridge Layout,3 BHK,Sancybr,2400,3.0,1.0,260.0,3.0,2400.0,13.0076481,77.7258907
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Lallere,1635,2.0,2.0,85.0,3.0,1635.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3526,4.0,1.0,558.0,4.0,3526.0,12.9945063,77.554298
Built-up  Area,Ready To Move,Padmanabhanagar,4 Bedroom,,3400,3.0,1.0,210.0,4.0,3400.0,12.9181024,77.5576638
Built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,3.0,1.0,460.0,3.0,2770.0,12.9778951,77.5164792
Super built-up  Area,Ready To Move,EPIP Zone,4 BHK,BrontLa,2710 - 3360,5.0,0.0,200.0,4.0,3035.0,12.9781922,77.7246451
Super built-up  Area,Ready To Move,Maragondanahalli,3 BHK,ArnzaFi,1533,3.0,2.0,85.0,3.0,1533.0,13.0376489,77.6922232
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Hiows C,1720,3.0,1.0,134.0,3.0,1720.0,13.0195427,77.6831272
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,,2000,3.0,1.0,200.0,3.0,2000.0,12.9975851,77.6136744
Super built-up  Area,18-Aug,Yeshwanthpur,2 BHK,Aroomba,1185,2.0,2.0,75.84,2.0,1185.0,13.0176937,77.5555009
Super built-up  Area,19-Dec,Varthur Road,2 BHK,,900,2.0,1.0,27.0,2.0,900.0,12.9561094,77.7295768
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,395,1.0,1.0,10.25,1.0,395.0,12.7751249,77.7709216
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1031,2.0,1.0,56.35,2.0,1031.0,12.8473999,77.6724452
Plot  Area,Ready To Move,3rd Block Banashankari,6 Bedroom,,2400,8.0,2.0,650.0,6.0,2400.0,12.9278196,77.556621
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,G conTh,2650,4.0,2.0,240.0,4.0,2650.0,13.0522499,77.6316152
Plot  Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,,2400,5.0,1.0,415.0,5.0,2400.0,12.9932739,77.5388099
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330,2.0,2.0,46.55,3.0,1330.0,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Hennur,2 BHK,Exitym ,1259,2.0,2.0,57.0,2.0,1259.0,13.037077,77.6413572
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GRvanun,1570,3.0,2.0,88.0,3.0,1570.0,12.932582,77.5162034
Super built-up  Area,18-May,Whitefield,2 BHK,Prtates,1216,2.0,1.0,79.0,2.0,1216.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Srisei ,1428,2.0,2.0,66.0,3.0,1428.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1160,2.0,2.0,40.59,2.0,1160.0,12.8742536,77.6260073
Plot  Area,18-Feb,ittamadu,3 Bedroom,,600,2.0,1.0,110.0,3.0,600.0,12.9233593,77.5418698
Super built-up  Area,Ready To Move,Doddakannelli,3 BHK,SastyDy,1475,3.0,2.0,70.0,3.0,1475.0,12.9115184,77.6934108
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1754,3.0,2.0,135.0,3.0,1754.0,12.9058923,77.675465
Super built-up  Area,18-Feb,Rayasandra,3 BHK,,1639,3.0,1.0,83.0,3.0,1639.0,12.8795774,77.6719842
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1804,3.0,2.0,102.0,3.0,1804.0,13.0351224,77.631944
Plot  Area,18-Aug,Whitefield,3 Bedroom,,1200,3.0,2.0,56.2,3.0,1200.0,12.9957428,77.7579489
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,,1135,2.0,3.0,55.0,2.0,1135.0,13.0346991,77.5944561
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1260,2.0,2.0,46.62,2.0,1260.0,12.8742536,77.6260073
Plot  Area,Ready To Move,Peenya,5 Bedroom,,1440,5.0,1.0,110.0,5.0,1440.0,13.0330515,77.5332233
Built-up  Area,Ready To Move,Hennur Road,3 BHK,Asadacy,2160,3.0,2.0,160.0,3.0,2160.0,13.0351224,77.631944
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1220,2.0,2.0,59.5,2.0,1220.0,13.0588586,77.6232576
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,1200,2.0,0.0,67.0,2.0,1200.0,13.0302592,77.6935252
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Chara N,1300,2.0,3.0,65.0,2.0,1300.0,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Cox Town,1 BHK,EGdiaAr,605,1.0,1.0,29.0,1.0,605.0,12.9934858,77.6251081
Plot  Area,Ready To Move,Vijayanagar,6 Bedroom,,1230,4.0,1.0,210.0,6.0,1230.0,12.9709537,77.5373851
Built-up  Area,Ready To Move,Amruthahalli,2 BHK,,924,2.0,1.0,45.0,2.0,924.0,13.0648426,77.5993429
Super built-up  Area,18-Nov,Kaikondrahalli,2 BHK,,1000,2.0,1.0,30.0,2.0,1000.0,12.9138348,77.6775268
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,35.0,2.0,700.0,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1187,2.0,2.0,58.0,2.0,1187.0,12.8701259,77.5820178
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Saconp ,1625,3.0,2.0,55.0,3.0,1625.0,12.9812262,77.6745845
Plot  Area,Ready To Move,Devarachikkanahalli,2 Bedroom,,1200,2.0,2.0,83.0,2.0,1200.0,12.8931539,77.6219724
Built-up  Area,Ready To Move,"Thanisandra Main Road,",3 BHK,,2357,3.0,2.0,151.0,3.0,2357.0,13.0401602,77.6243306
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,1200,2.0,1.0,49.5,2.0,1200.0,13.0200235,77.6092887
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1139,2.0,2.0,56.85,2.0,1139.0,13.1424106,77.7340989
Built-up  Area,Ready To Move,Basavangudi,1 Bedroom,,600,1.0,0.0,97.5,1.0,600.0,12.9421868,77.5742576
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1660,3.0,3.0,75.0,3.0,1660.0,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,Rakulai,1170,2.0,3.0,105.0,2.0,1170.0,12.9292731,77.5824229
Super built-up  Area,18-May,Kadugodi,3 BHK,Alestrb,1762,3.0,3.0,110.0,3.0,1762.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1105,2.0,1.0,38.65,2.0,1105.0,12.9812262,77.6745845
Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1825,3.0,1.0,105.0,3.0,1825.0,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2.0,2.0,43.0,2.0,1185.0,13.0522499,77.6316152
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1320,2.0,1.0,38.12,3.0,1320.0,12.8473999,77.6724452
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Suelsa ,1058,2.0,1.0,48.0,2.0,1058.0,12.8773486,77.6028031
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,1220,2.0,2.0,60.0,2.0,1220.0,12.9320495,77.6842915
Super built-up  Area,18-Aug,Sarjapur,2 BHK,,925,2.0,1.0,25.0,2.0,925.0,12.9694037,77.5870258
Super built-up  Area,18-May,Old Madras Road,2 BHK,Brglede,1200,2.0,1.0,72.0,2.0,1200.0,13.0069152,77.6882534
Super built-up  Area,Ready To Move,Kengeri,3 BHK,,1160,2.0,2.0,40.6,3.0,1160.0,12.9176571,77.4837568
Plot  Area,Ready To Move,Kengeri Satellite Town,3 Bedroom,,600,4.0,3.0,72.0,3.0,600.0,12.9229728,77.4842926
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550,3.0,2.0,78.0,3.0,1550.0,12.9426506,77.6027253
Super built-up  Area,Ready To Move,Green Glen Layout,4 BHK,,3250,4.0,3.0,230.0,4.0,3250.0,12.9269039,77.6701877
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2475,4.0,,130.0,3.0,2475.0,12.9018012,77.6641767
Super built-up  Area,22-May,Jakkur,4 BHK,SoineC ,2249.81 - 4112.19,,,260.5,4.0,3181.0,13.0784743,77.6068938
Super built-up  Area,19-Dec,7th Phase JP Nagar,4 BHK,Puarero,2503,4.0,0.0,188.0,4.0,2503.0,12.9119693,77.5882043
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Prionad,2524,5.0,2.0,190.0,4.0,2524.0,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,,1063,2.0,2.0,42.0,2.0,1063.0,12.9812262,77.6745845
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1077,2.0,1.0,37.7,2.0,1077.0,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1200,3.0,2.0,44.0,2.0,1200.0,13.0454837,77.6266492
Built-up  Area,Ready To Move,Hosakerehalli,4 BHK,,1500,3.0,2.0,70.0,4.0,1500.0,12.9299371,77.5374237
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Vaniai ,1045,2.0,2.0,76.77,2.0,1045.0,13.0394104,77.5197351
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,SPavenc,1290,2.0,3.0,45.15,3.0,1290.0,12.9189383,77.5739265
Super built-up  Area,Ready To Move,Hoodi,2 BHK,SMaxyay,1400,2.0,1.0,78.0,2.0,1400.0,12.9959233,77.7192796
Built-up  Area,Ready To Move,Begur Road,3 BHK,,1600,3.0,2.0,58.14,3.0,1600.0,12.8742536,77.6260073
Super built-up  Area,Ready To Move,Jayanagar,3 BHK,,3095,3.0,3.0,375.0,3.0,3095.0,12.9292731,77.5824229
Super built-up  Area,Ready To Move,Nagavara,3 BHK,,1545,2.0,1.0,58.0,3.0,1545.0,13.0374647,77.623602
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1680,3.0,1.0,112.0,3.0,1680.0,12.9244884,77.6451418
Built-up  Area,Ready To Move,Amruthnagar,2 BHK,,1350,2.0,1.0,67.5,2.0,1350.0,13.0569904,77.5981092
Super built-up  Area,Ready To Move,Gottigere,2 BHK,,950,2.0,1.0,38.0,2.0,950.0,12.8565317,77.5877237
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,,1050,2.0,2.0,45.0,2.0,1050.0,13.0522499,77.6316152
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,,1305,2.0,2.0,49.0,3.0,1305.0,12.8849238,77.5154846
Plot  Area,Ready To Move,Hosakerehalli,4 Bedroom,,800,4.0,2.0,120.0,4.0,800.0,12.9299371,77.5374237
Built-up  Area,18-Feb,Kodichikkanahalli,5 BHK,,2700,7.0,2.0,125.0,5.0,2700.0,12.8966996,77.6124269
Built-up  Area,Ready To Move,Thanisandra,6 Bedroom,,3500,5.0,0.0,160.0,6.0,3500.0,13.0522499,77.6316152
Super built-up  Area,19-Oct,Begur Road,3 BHK,Pruthg ,1634,3.0,1.0,83.33,3.0,1634.0,12.8742536,77.6260073
Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352,2.0,2.0,85.0,2.0,1352.0,12.977178,77.7436455
Super built-up  Area,17-Sep,Balagere,2 BHK,HiqueMa,1145,2.0,2.0,65.0,2.0,1145.0,12.9377243,77.7280705
Super built-up  Area,18-May,Alfa Garden Layout,2 BHK,,1240,2.0,,43.79,2.0,1240.0,12.9684751,77.5981066
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,2200,3.0,2.0,190.0,3.0,2200.0,12.9119693,77.5882043
Super built-up  Area,18-Mar,Bommasandra Industrial Area,2 BHK,,1020,2.0,1.0,39.0,2.0,1020.0,12.8137512,77.6953367
Super built-up  Area,Ready To Move,Palace Guttahalli,4 BHK,,3600,4.0,,365.0,4.0,3600.0,12.999489,77.5843469
Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,2 BHK,Prllsan,1168,2.0,1.0,61.0,2.0,1168.0,12.932582,77.5162034
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,SNbay G,1205,2.0,1.0,75.0,2.0,1205.0,12.8473999,77.6724452
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Vatra N,1195,2.0,2.0,100.0,2.0,1195.0,13.0176937,77.5555009
Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,,1028,2.0,1.0,49.0,2.0,1028.0,12.9855509,77.668072
Super built-up  Area,Ready To Move,Akshya Nagar,2 BHK,,1175,2.0,2.0,48.27,2.0,1175.0,13.0694057,77.5451149
Super built-up  Area,Ready To Move,Pai Layout,3 BHK,Saent A,1550,2.0,2.0,90.0,3.0,1550.0,12.993111,77.6666772
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,,1826,3.0,2.0,165.0,3.0,1826.0,13.0176937,77.5555009
Plot  Area,Ready To Move,Hoodi,5 Bedroom,,2400,5.0,2.0,160.0,5.0,2400.0,12.9959233,77.7192796
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1603,3.0,2.0,96.0,3.0,1603.0,13.1006982,77.5963454
Built-up  Area,Ready To Move,Marathahalli,3 BHK,,1350,3.0,1.0,72.0,3.0,1350.0,12.9552572,77.6984163
Built-up  Area,Ready To Move,KR Puram,1 BHK,,714,1.0,1.0,28.0,1.0,714.0,13.007516,77.695935
Super built-up  Area,18-Nov,Whitefield,2 BHK,,1215,2.0,3.0,65.0,2.0,1215.0,12.9957428,77.7579489
Built-up  Area,Ready To Move,Malleshpalya,3 BHK,MancyRe,1405,2.0,2.0,77.0,3.0,1405.0,12.9744129,77.6743533
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1142,2.0,1.0,51.0,2.0,1142.0,13.007516,77.695935
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1870,3.0,2.0,90.0,3.0,1870.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Chllsev,1313,2.0,2.0,73.0,2.0,1313.0,12.8992578,77.5321721
Built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1945,3.0,3.0,120.0,3.0,1945.0,13.0376905,77.6432902
Super built-up  Area,17-Jul,Thanisandra,3 BHK,Bhmesy ,1573,3.0,2.0,95.0,3.0,1573.0,13.0522499,77.6316152
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Mades G,1255,2.0,1.0,92.0,2.0,1255.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Benson Town,4 BHK,,1400,3.0,2.0,91.15,4.0,1400.0,12.997343,77.6036815
Super built-up  Area,18-May,Kannamangala,2 BHK,,1235,2.0,2.0,43.63,2.0,1235.0,13.0154819,77.7631515
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1380,2.0,1.0,52.0,3.0,1380.0,12.9244884,77.6451418
Plot  Area,Ready To Move,Ramamurthy Nagar,7 Bedroom,,1500,9.0,2.0,250.0,7.0,1500.0,13.0120218,77.6777817
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1238,2.0,1.0,67.0,2.0,1238.0,12.8699226,77.6272278
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,,1418,2.0,2.0,103.0,2.0,1418.0,13.0170955,77.4829741
Super built-up  Area,Ready To Move,Victoria Layout,3 BHK,,1650,3.0,1.0,165.0,3.0,1650.0,12.9656579,77.6142682
Built-up  Area,Ready To Move,Anekal,1 RK,,351,1.0,1.0,16.0,1.0,351.0,12.7836552,77.7461411
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sagnage,1279,2.0,2.0,48.0,2.0,1279.0,12.9055682,77.5455438
Built-up  Area,Ready To Move,Kasavanhalli,3 Bedroom,,1870,3.0,1.0,200.0,3.0,1870.0,12.9047595,77.6759172
Plot  Area,Ready To Move,BCC Layout,4 Bedroom,,1500,5.0,1.0,230.0,4.0,1500.0,12.955703,77.5313329
Super built-up  Area,19-Oct,Hebbal,3 BHK,SNontle,2526,2.0,2.0,250.0,3.0,2526.0,13.0382184,77.5919
Plot  Area,Ready To Move,Mathikere,3 Bedroom,,1550,2.0,1.0,150.0,3.0,1550.0,13.0333587,77.5581786
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3436 - 3643,,,424.5,4.0,3539.5,12.9945063,77.554298
Super built-up  Area,18-Aug,Uttarahalli,3 BHK,DSera S,1845,2.0,1.0,68.27,3.0,1845.0,12.9055682,77.5455438
Built-up  Area,Ready To Move,Friends Colony,3 BHK,,1150,2.0,1.0,75.0,3.0,1150.0,12.926326,77.6171749
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1260,2.0,2.0,49.5,2.0,1260.0,12.9957428,77.7579489
Built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,965,2.0,1.0,42.5,2.0,965.0,12.7467724,77.7742876
Built-up  Area,Ready To Move,Hoodi,3 BHK,Adion M,1350,2.0,3.0,48.0,3.0,1350.0,12.9959233,77.7192796
Super built-up  Area,Ready To Move,Arehalli,3 BHK,,1229,3.0,1.0,86.03,3.0,1229.0,12.9084491,77.537781
Super built-up  Area,Ready To Move,Kudlu,2 BHK,,1027,2.0,2.0,43.0,2.0,1027.0,12.8889126,77.6555716
Super built-up  Area,Ready To Move,Gottigere,2 BHK,M denGa,1153,2.0,1.0,48.5,2.0,1153.0,12.8565317,77.5877237
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2830 - 2882,5.0,0.0,145.5,4.0,2856.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,A idse ,1065,2.0,2.0,50.0,2.0,1065.0,12.9744129,77.6743533
Super built-up  Area,Ready To Move,Mallasandra,2 BHK,,1340,2.0,2.0,61.0,2.0,1340.0,13.0548302,77.5155741
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,4000,5.0,,212.0,4.0,4000.0,12.9552572,77.6984163
Built-up  Area,Ready To Move,Sri Balaji Krupa Layout,1 Bedroom,,600,1.0,0.0,32.0,1.0,600.0,12.8732692,77.6460654
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2.0,3.0,44.42,3.0,1410.0,12.8742536,77.6260073
Super built-up  Area,20-Dec,Varthur,2 BHK,Myple M,1055,2.0,2.0,45.35,2.0,1055.0,12.9406508,77.746988
Super built-up  Area,18-May,Yelahanka,2 BHK,Prensya,1304,2.0,1.0,79.0,2.0,1304.0,13.1006982,77.5963454
Super built-up  Area,18-Feb,Sadashiva Nagar,4 BHK,,2720,4.0,1.0,485.0,4.0,2720.0,13.0110193,77.5808641
Built-up  Area,Ready To Move,Kammasandra,2 BHK,Puitea ,990,2.0,1.0,31.5,2.0,990.0,13.079198,77.7136366
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1035,2.0,1.0,39.33,2.0,1035.0,12.9119693,77.5882043
Super built-up  Area,21-Jun,Tumkur Road,1 BHK,Coowsri,596 - 804,1.0,0.0,30.09,1.0,700.0,13.0161949,77.556284
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,,1120,2.0,2.0,43.0,2.0,1120.0,12.9433048,77.4801187
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2.0,2.0,73.0,2.0,1300.0,12.9018012,77.6641767
Super built-up  Area,21-Jan,Tumkur Road,2 BHK,Sapus S,1239,2.0,1.0,82.0,2.0,1239.0,13.0161949,77.556284
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Daivon ,1403,3.0,3.0,51.63,3.0,1403.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,Sosisic,1365,2.0,1.0,92.0,2.0,1365.0,12.8704543,77.6539943
Super built-up  Area,Ready To Move,8th block Koramangala,2 BHK,Sid 2ss,1165,2.0,1.0,135.0,2.0,1165.0,12.9287596,77.6287122
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,,1130,2.0,3.0,45.19,3.0,1130.0,12.8992578,77.5321721
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Solia D,1776.42,3.0,2.0,105.0,3.0,1776.42,12.9269039,77.6701877
Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,,900,4.0,3.0,175.0,4.0,900.0,13.0766407,77.5577315
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2.0,2.0,47.0,2.0,1194.0,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Bidadi,2 BHK,Etuney ,1107,2.0,2.0,33.0,2.0,1107.0,12.8861649,77.5822896
Super built-up  Area,Ready To Move,Nagavara,3 BHK,,2319,3.0,2.0,180.0,3.0,2319.0,13.0374647,77.623602
Super built-up  Area,Ready To Move,Nallurhalli,3 BHK,DNtonri,1520,3.0,3.0,80.0,3.0,1520.0,12.9766408,77.7248845
Super built-up  Area,19-Jul,Kannamangala,3 BHK,Sonue A,1536,3.0,1.0,89.0,3.0,1536.0,13.0154819,77.7631515
Built-up  Area,Ready To Move,Teachers Colony,4 BHK,,3000,4.0,2.0,240.0,4.0,3000.0,12.9188265,77.6341185
Super built-up  Area,Ready To Move,Belathur,2 BHK,Viiniai,1050,2.0,1.0,38.0,2.0,1050.0,12.9989822,77.7408733
Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1850,3.0,2.0,146.0,3.0,1850.0,12.9959233,77.7192796
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1535,3.0,2.0,72.5,3.0,1535.0,12.9552572,77.6984163
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1050,2.0,1.0,35.0,2.0,1050.0,12.8856913,77.5526564
Plot  Area,Ready To Move,Banashankari,4 Bedroom,,2400,3.0,2.0,370.0,4.0,2400.0,12.9278196,77.556621
